DISPLAY_FIRST_LAST,SCHOOL,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,TEAM_NAME,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PTS,AST,REB,PIE,current_avg_salary,age,year_played
Steven Adams,Pittsburgh,83.0,265.0,7,12,Center,Pelicans,2013,1,12,8.1,2.0,9.2,0.093,21530898.333333332,27,7
Bam Adebayo,Kentucky,81.0,255.0,3,13,Center-Forward,Heat,2017,1,14,19.2,5.4,9.5,0.167,26203834.4,23,3
LaMarcus Aldridge,Texas,83.0,250.0,14,12,Center-Forward,Spurs,2006,1,2,13.7,1.7,4.5,0.096,554988.0,35,14
Grayson Allen,Duke,76.0,198.0,2,3,Guard,Grizzlies,2018,1,21,9.5,2.1,3.1,0.085,4147610.0,25,2
Jarrett Allen,Texas,83.0,243.0,3,31,Center,Cavaliers,2017,1,22,12.9,1.6,9.9,0.147,5807674.5,23,3
Kyle Anderson,UCLA,81.0,230.0,6,1,Forward-Guard,Grizzlies,2014,1,30,12.8,3.4,5.8,0.124,9721125.0,27,6
Giannis Antetokounmpo,Filathlitikos,83.0,242.0,7,34,Forward,Bucks,2013,1,15,29.0,6.4,11.7,0.196,40758766.4,26,7
Kostas Antetokounmpo,Dayton,82.0,200.0,2,37,Forward,Lakers,2018,2,60,1.2,0.0,1.8,0.049,1729217.0,23,2
Thanasis Antetokounmpo,Panathinaikos,78.0,219.0,2,43,Forward,Bucks,2014,2,51,2.2,0.7,2.0,0.057,1914292.0,28,5
Carmelo Anthony,Syracuse,79.0,238.0,17,00,Forward,Trail Blazers,2003,1,3,14.0,1.7,3.3,0.088,1620564.0,37,17
OG Anunoby,Indiana,79.0,232.0,3,3,Forward,Raptors,2017,1,23,14.0,1.6,5.7,0.092,15174443.0,23,3
Ryan Arcidiacono,Villanova,75.0,195.0,3,51,Guard,Bulls,Undrafted,Undrafted,Undrafted,3.2,1.2,1.6,0.071,3000000.0,27,3
Trevor Ariza,UCLA,80.0,215.0,16,0,Forward,Heat,2004,2,43,4.0,1.0,3.3,0.056,12800000.0,36,16
